year,logprice,logwheat,wheat,price
1888,2.37954613413,1.32707500146,3.77,10.8
1889,2.35137525716,1.24415459396,3.47,10.5
1890,2.53369681396,1.2753628004100002,3.58,12.6
1891,2.4159137783,1.3244189574,3.76,11.2
1892,2.26176309847,1.31908561143,3.74,9.6
1893,2.12823170585,1.31372366829,3.72,8.4
1894,2.16332302566,1.31640823366,3.73,8.7
1895,2.29757255117,1.22377543162,3.4,9.95
1896,2.47653840012,1.17865499634,3.25,11.9
1897,2.49732916979,1.11514159062,3.05,12.15
1898,2.2884861686099995,1.34025042262,3.82,9.86
1899,2.2854389341599997,1.20896034584,3.35,9.83
1900,2.24495598016,1.19996478293,3.32,9.44
1901,2.2481289072,1.22377543162,3.4,9.47
1902,2.2731562823,1.33236601909,3.79,9.71
1903,2.2854389341599997,1.34025042262,3.82,9.83
1904,2.2854389341599997,1.2864740258399998,3.62,9.83
1905,2.2481289072,1.31640823366,3.73,9.47
1906,2.32336763218,1.31372366829,3.72,10.21
1907,2.39425228152,1.20597080699,3.34,10.96
1908,2.4857396360900004,1.20597080699,3.34,12.01
1909,2.3749057545700003,1.31640823366,3.73,10.75
1910,2.2925347571400003,1.30291275218,3.68,9.9
1911,2.33408376005,1.25846098961,3.52,10.32
